qualified_class	source	method_count	semantic_sha256
<>c	ALL:semantic_variant	1	00355f627936ce48faa8efc1f0cfd777ac5b73e7a1e843900550633d709d3150
<>c	ALL:semantic_variant	1	006606967a35a164915df3ad45152c919d267aa6ac7954a8f16a6c545cab073a
<>c	ALL:semantic_variant	1	00e7e809bd8ea88aedc5300f6d538ee09e97098f410af73da7242ca81b800c98
<>c	ALL:semantic_variant	1	01187407d1ec05a7a84800001a42fc287b22dd024349790d82c7a57114628f9d
<>c	ALL:semantic_variant	1	011f8c12872eace94d5bc9a677ad021a00e04cf876d537346a3308ae54f9cc26
<>c	ALL:semantic_variant	1	018611e65e94f219e1e52087a4ec306d23d59a7abea943777f66eb3850ace57a
<>c	ALL:semantic_variant	1	01b8f34b59fe69fe4792125e915266a0353e6abacb3a51468346480ea27ac965
<>c	ALL:semantic_variant	1	01fa861678c9d5598a8a022291cf7acee515b9d92fe2f1be02ce4b3f7cc312ed
<>c	ALL:semantic_variant	1	0221309921add9393d7b4ae2facba1b5eb51a0b9a1417bbfb476bc86fb1b5dba
<>c	ALL:semantic_variant	1	022f2cd0e08248427c2326565e81911261a8a5cb5b309c0275683935a2707aee
<>c	ALL:semantic_variant	1	023763f8c45555ff753ee7b67b512e0c3d34d4155c7fb43c68677d070e57986f
<>c	ALL:semantic_variant	1	028e009e4c2f0eb50d90ad44eee04b3609ae9e32c223d18c5352ddd37447c0e6
<>c	ALL:semantic_variant	1	03be666bee7d67c16ccdcc3e164b7a8d14ef26d864bbe5fa6c74ed54c7656999
<>c	ALL:semantic_variant	1	04001578a6c858a3a3cc9c4b4c835309a387acf8e9a6e47bcb931351d11e6668
<>c	ALL:semantic_variant	1	0453028fa725dab5394ccfaf6526c2d241d956f1465244cc6eca78166c718475
<>c	ALL:semantic_variant	1	0542215341c59bb349ace163037f5b2cf014b8c6eb66c5ddd78d410d596c2c3a
<>c	ALL:semantic_variant	1	05755d669283c014c2f8eced5eb394413dcc9dc493a83afe01bb4db71556ace2
<>c	ALL:semantic_variant	1	05df08231664910fa14b50c4d99e44f1e3d11e8f993ee8102539c9a83e7b3384
<>c	ALL:semantic_variant	1	063c4bfdf9466284b4eabcbe9e02adce6280d6f45580163f36dedabbbcb9e964
<>c	ALL:semantic_variant	1	06c17664419e35ccadf019f14852f25943cad5e72a16a65b9f1f6f0824666884
<>c	ALL:semantic_variant	1	06cd7790e9db070cdab20602c1c6627eb943434c39a1c6953b89703bd1b96d0c
<>c	ALL:semantic_variant	1	071559a38f7dd3fa62607e769c03b525b423aad1dc65760f2870227f6741c2d5
